antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
dark_urine,abdominal_pain,0.11585365853658537,0.2097560975609756,0.11097560975609756,0.9578947368421052,4.56670746634027,1.0,0.08667459845330161,18.76829268292682,0.8833649109511178,0.5170454545454545,0.9467186484730344,0.7434822521419828
abdominal_pain,vomiting,0.2097560975609756,0.38902439024390245,0.17682926829268292,0.8430232558139534,2.1670190274841437,1.0,0.09522903033908386,3.8921409214092124,0.6814814814814814,0.4190751445086705,0.743071995543796,0.648784355179704
yellowish_skin,abdominal_pain,0.18536585365853658,0.2097560975609756,0.1548780487804878,0.8355263157894737,3.983323133414933,1.0,0.11599643069601429,4.804682926829268,0.9193738507237493,0.6446700507614213,0.7918697205977908,0.7869492044063647
abdominal_pain,yellowish_skin,0.2097560975609756,0.18536585365853658,0.1548780487804878,0.7383720930232558,3.983323133414933,1.0,0.11599643069601429,3.113712737127371,0.9477495868571985,0.6446700507614213,0.6788399944297452,0.7869492044063647
excessive_hunger,blurred_and_distorted_vision,0.09390243902439024,0.06951219512195123,0.06707317073170732,0.7142857142857143,10.275689223057643,1.0,0.06054580606781678,3.256707317073171,0.9962314939434724,0.6962025316455697,0.6929413967421832,0.8395989974937343
blurred_and_distorted_vision,excessive_hunger,0.06951219512195123,0.09390243902439024,0.06707317073170732,0.9649122807017544,10.275689223057643,1.0,0.06054580606781678,25.823780487804882,0.9701179554390564,0.6962025316455697,0.9612760029279119,0.8395989974937343
breathlessness,chest_pain,0.09146341463414634,0.14146341463414633,0.06707317073170732,0.7333333333333334,5.183908045977012,1.0,0.05413444378346223,3.219512195121952,0.888346552776083,0.4044117647058824,0.6893939393939394,0.6037356321839081
breathlessness,cough,0.09146341463414634,0.11463414634146342,0.06463414634146342,0.7066666666666667,6.164539007092198,1.0,0.054149315883402736,3.018292682926829,0.922122324933519,0.4568965517241379,0.6686868686868687,0.6352482269503545
breathlessness,fatigue,0.09146341463414634,0.3926829268292683,0.06463414634146342,0.7066666666666667,1.7995859213250516,1.0,0.028718024985127905,2.07039911308204,0.489046473344308,0.1540697674418605,0.5170013386880856,0.4356314699792961
breathlessness,high_fever,0.09146341463414634,0.27682926829268295,0.06585365853658537,0.7200000000000001,2.6008810572687224,1.0,0.04053390838786437,2.5827526132404186,0.6774794929157346,0.217741935483871,0.6128161888701519,0.47894273127753306
cough,chest_pain,0.11463414634146342,0.14146341463414633,0.09146341463414634,0.7978723404255319,5.64013206162876,1.0,0.07524687685901249,4.247496790757381,0.9292194674012855,0.5555555555555555,0.7645672147001934,0.7222120322817315
phlegm,chest_pain,0.07195121951219512,0.14146341463414633,0.07195121951219512,1.0,7.06896551724138,1.0,0.061772754312908976,inf,0.9250985545335084,0.5086206896551725,1.0,0.7543103448275862
chills,high_fever,0.16219512195121952,0.27682926829268295,0.13414634146341464,0.8270676691729324,2.9876453247656585,1.0,0.08924598453301606,4.181813361611878,0.7940849543469631,0.43999999999999995,0.7608692895814579,0.6558245834851446
muscle_pain,chills,0.09634146341463415,0.16219512195121952,0.06829268292682927,0.7088607594936709,4.3704197201865425,1.0,0.05266656751933373,2.877677624602333,0.8534075573549257,0.358974358974359,0.6524975586387338,0.5649566955363091
phlegm,chills,0.07195121951219512,0.16219512195121952,0.06829268292682927,0.9491525423728815,5.851917930419269,1.0,0.05662254610350982,16.476829268292725,0.8933968462549277,0.41176470588235303,0.9393087114203243,0.6851025869759144
cough,fatigue,0.11463414634146342,0.3926829268292683,0.08536585365853659,0.7446808510638299,1.8963922294172064,1.0,0.04035098155859607,2.3786585365853665,0.5338842975206611,0.2023121387283237,0.57959497564727,0.48103607770582796
cough,high_fever,0.11463414634146342,0.27682926829268295,0.08658536585365853,0.7553191489361701,2.728465648139469,1.0,0.054851279000594874,2.9555673382820773,0.7155162379234081,0.2839999999999999,0.6616554841950413,0.534047239666323
phlegm,cough,0.07195121951219512,0.11463414634146342,0.06829268292682927,0.9491525423728815,8.279841327082583,1.0,0.06004461629982154,17.412195121951267,0.9473906513985356,0.577319587628866,0.9425689872531169,0.7724486116119726
dark_urine,fatigue,0.11585365853658537,0.3926829268292683,0.08780487804878048,0.7578947368421052,1.930042497548218,1.0,0.04231112433075549,2.5084835630964997,0.5450191570881225,0.208695652173913,0.6013527795392093,0.4907486106570774
dark_urine,loss_of_appetite,0.11585365853658537,0.23414634146341465,0.08902439024390243,0.7684210526315789,3.2817982456140347,1.0,0.061897679952409274,3.3070953436807087,0.7863958431743032,0.3411214953271028,0.697619845792826,0.5743146929824561
